epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;eicosane;282.329;2.003273093700409;3.006876855373383;6.0;20.03889712572098;200.6656543254852;val
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.0040945982933045;2.998657175898552;6.0;19.999461798332632;200.4278259754181;train
1;2,2-dimethylpropane;72.094;2.0047834806442264;3.002647104024887;6.0;19.959860420227052;200.44285101890563;train
1;2,2-dimethylbutane;86.11;2.0053185420036317;3.003484717607498;6.0;19.973887200355527;200.92662420272828;train
1;2,3-dimethylpentane;100.125;1.999941958747804;3.005250544071197;6.0;20.019802634716033;200.57315526008605;train
1;2,4-dimethylpentane;100.125;2.003786281347275;3.0030223886966705;6.0;20.029705622196197;200.57696380615235;train
1;3-methylheptane;114.141;2.0032055537700653;3.0048946380615233;6.0;20.013121323585512;200.92658634185793;train
1;2-methyl-3-ethyl-pentane;114.141;2.0018057503700257;3.0066421184539793;6.0;19.989608640670777;200.9526487350464;train
1;2,4-dimethylhexane;114.141;2.002829810857773;3.005122136592865;6.0;20.006997791528704;200.81611003875733;train
1;2,2,3,4-tetramethylpentane;128.157;2.001764834880829;3.004654514789581;6.0;19.968553314208982;201.11491270065306;train
1;2,2,5-trimethylhexane;128.157;2.003409447193146;3.004645400524139;6.0;19.953820371627806;200.99121303558348;train
1;2,6-dimethyloctane;142.172;2.00151771736145;3.003852148771286;6.0;19.966722259521482;200.7985942840576;train
1;2,3-dimethylnonane;156.188;2.0006231508851053;3.005564142227173;6.0;19.996658175885678;200.7790674686432;train
1;3-methyldodecane;184.219;2.0037687249183653;3.0043324885368348;6.0;20.02063557863235;200.8829321861267;train
1;2,3-dimethyldodecane;198.235;2.000533340036869;3.0069102983474734;6.0;20.004480287730697;200.66904315948486;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0008167830109596;3.0004355325698855;6.0;19.963701162338257;201.20010843276978;train
1;tetracosane;338.391;2.003467073440552;3.0076799931526184;6.0;20.03222973585129;200.59813151359558;train
1;propane;44.063;2.0042358899116515;2.9978497874736787;6.0;19.996652891933916;200.5365834712982;train
1;pentane;72.094;2.0041091942787173;3.0030038437843323;6.0;20.004208329617974;200.53078398704528;train
1;2,3-dimethylbutane;86.11;2.00357279419899;3.0035485870838166;6.0;20.02333175420761;200.60864028930663;train
1;3-methylhexane;100.125;2.003179586172104;3.0021916003227234;6.0;20.024067316055294;200.60893883705137;train
1;2,5-dimethylhexane;114.141;2.002656793355942;3.0037940599918365;6.0;19.972822315692902;200.73507504463194;train
1;2,2,3-trimethylpentane;114.141;2.002488838195801;3.0042191767692565;6.0;19.955365853309633;200.84227285385134;train
1;2,3,3-trimethylpentane;114.141;2.004025312900543;3.00462399148941;6.0;19.948924989700316;200.9685615539551;train
1;4-methylheptane;114.141;2.0008814892172815;3.0040757098197934;6.0;20.010178915262223;200.99000205993653;train
1;3,3-diethylpentane;128.157;2.0053186354637145;3.0033442449569705;6.0;19.973428990840915;200.96018142700194;train
1;2,3-dimethylheptane;128.157;1.9998440932929515;3.0053160543441773;6.0;19.99798065394163;200.81509704589843;train
1;2,7-dimethyloctane;142.172;2.0017634481191635;3.002175698041916;6.0;19.962075164318087;200.93225803375242;train
1;3-methylundecane;170.203;2.004071907520294;3.0031076958179472;6.0;19.99834566682577;200.8268336296082;train
1;tridecane;184.219;2.0052809739112853;3.0070065293312074;6.0;20.019124064445496;200.94638023376464;train
1;tetradecane;198.235;2.0050567097663876;3.0067425994873047;6.0;20.01583399772644;200.95936708450319;train
1;heptadecane;240.282;2.0030277853012084;3.007168605804443;6.0;20.033270404338836;200.6972873210907;train
1;heptacosane;380.438;2.002519087791443;3.0073074688911436;6.0;20.037105250358582;200.67279334068297;train
1;n-butane;58.078;2.005099113941193;2.9995547582209108;6.0;20.018001573085783;200.26928162574768;train
1;3-methylpentane;86.11;2.00435498380661;3.002698842525482;6.0;20.03660800933838;200.53609533309938;train
1;3-ethylpentane;100.125;2.004585163116455;3.0036478173732757;6.0;20.03471807003021;200.65784249305727;train
1;3,3-dimethylpentane;100.125;2.004690845966339;3.005826979637146;6.0;19.989996345043185;200.97366838455198;train
1;2-methylheptane;114.141;2.0022951948642733;3.003515678405762;6.0;20.009761638045312;200.99894981384273;train
1;octane;114.141;2.0038343963623046;3.0013913861513135;6.0;20.02261711359024;200.70021862983705;train
1;3-ethylhexane;114.141;2.003116309404373;3.004788363456726;6.0;20.002205014526844;200.93965158462527;train
1;2,3-dimethylhexane;114.141;2.000656725525856;3.0050714960098266;6.0;20.00092052422464;200.9039869308472;train
1;2-methyloctane;128.157;2.0028774943351744;3.0033666105270385;6.0;20.02045872449875;200.88802719116208;train
1;2,2,3,3-tetramethylpentane;128.157;2.0025924026966093;3.0031108381748197;6.0;19.995344055593016;200.97904863357545;train
1;3-methyldecane;156.188;2.0039691262245176;3.0046009869575503;6.0;20.007120698094365;200.69862976074216;train
1;2,3-dimethyldecane;170.203;2.000363403171301;3.005535707473755;6.0;20.000896222218874;200.96883878707885;train
1;2-methyldodecane;184.219;2.003081339836121;3.004258483886719;6.0;20.00009563591331;200.88870296478268;train
1;2-methyltridecane;198.235;2.003420726299286;3.004891469478607;6.0;20.002451212108134;200.89515419006347;train
1;octadecane;254.297;2.001831159949303;3.006754048347473;6.0;20.028675100803373;200.8122549057007;train
1;octacosane;394.454;2.0023754580020903;3.007848643779755;6.0;20.03277915239334;200.71508231163025;train
1;2-methylpropane;58.078;2.003693687915802;3.0008060035109523;6.0;20.00380271404982;200.41469283103942;train
1;hexane;86.11;2.004566439628601;3.001605388402939;6.0;20.007528429031368;200.76488699913025;train
1;2-methylhexane;100.125;2.002372378349304;3.00202995634079;6.0;20.009618580937385;200.63403301239015;train
1;2,2-dimethylpentane;100.125;2.0033721561431888;3.0036676979064945;6.0;19.997929736077786;201.0240107536316;train
1;3,3-dimethylhexane;114.141;2.0036164643764494;3.0059569807052613;6.0;19.999460546635092;201.18458747863767;train
1;2,3,4-trimethyl pentane;114.141;2.0041346325874327;3.006293246746063;6.0;20.005724407434464;200.9091417312622;train
1;2,2-dimethylhexane;114.141;2.0041610646247863;3.003929640054703;6.0;19.975634160041807;201.09798355102538;train
1;nonane;128.157;2.0032214677333835;3.0040137553215027;6.0;20.012707788944244;200.75547337532043;train
1;2,2,4,4-tetramethylpentane;128.157;2.001307933926582;3.004315201759338;6.0;19.976020476818086;201.03213596343994;train
1;2,2,5,5-tetramethylhexane;142.172;2.002488227367401;3.0033907523155214;6.0;19.968820440769196;201.15088748931882;train
1;n-undecane;156.188;2.0056284732818606;3.0053178572654726;6.0;20.005488867759702;200.81777982711793;train
1;2-methylundecane;170.203;2.003163975715637;3.00362645149231;6.0;19.993792455792427;200.85939111709595;train
1;2,3-dimethylundecane;184.219;2.0008642845749858;3.0057056612968447;6.0;19.996238575875758;200.7534096240997;train
1;pentadecane;212.25;2.0053023900985716;3.0067032170295716;6.0;20.032643089294435;200.84878520965574;train
1;nonadecane;268.313;2.0031824786663055;3.0057127766609195;6.0;20.030301792621614;200.79141712188724;train
1;squalane;422.485;2.000675216019154;3.009635932922363;6.0;19.9570952129364;200.68831276893616;train
1;methane;16.031;2.0009863553047182;3.000016037525609;6.0;19.996065742373467;200.38555994033814;val
1;2-methylbutane;72.094;2.0025301692485806;3.0016776221990584;6.0;20.001905122697355;200.3924716949463;val
1;2-methylpentane;86.11;2.003671188592911;3.0023903851509095;6.0;20.00963742673397;200.53503170013425;val
1;2,2,3-trimethylbutane;100.125;2.0044045839309694;3.0035591847896574;6.0;19.97195607662201;200.87152242660525;val
1;heptane;100.125;2.0023459889888766;3.0038629763126377;6.0;20.029944903850556;200.35657782554628;val
1;3,4-dimethylhexane;114.141;2.001337125182152;3.0066014800071716;6.0;19.993198575377463;200.8637462615967;val
1;3-methyl-3-ethylpentane;114.141;2.005566107273102;3.005114718914032;6.0;19.97907290935516;200.96034202575686;val
1;2,2,4-trimethylpentane;114.141;2.0016027203798297;3.005500018119812;6.0;19.97654700756073;200.99812135696408;val
1;2,4,4-trimethylhexane;128.157;2.001839586853981;3.006086009025574;6.0;19.965885000228884;201.00060367584229;val
1;2,3,3,4-tetramethylpentane;128.157;2.002934389591217;3.0040071811676023;6.0;19.98417653799057;201.00877466201786;val
1;decane;142.172;2.003048145532608;3.0044494218826294;6.0;20.009064678549766;200.73126215934752;val
1;2-methyldecane;156.188;2.0037885031700133;3.003097694158554;6.0;19.98023701429367;200.88051681518556;val
1;dodecane;170.203;2.0049018654823305;3.0065482764244083;6.0;20.009485698342324;201.04562950134275;val
1;3-methyltridecane;198.235;2.0023045482635498;3.0066275944709777;6.0;20.01334133028984;200.78455271720887;val
1;hexadecane;226.266;2.004119924068451;3.006989251613617;6.0;20.04118239879608;200.89126930236816;val
1;eicosane;282.329;2.003273093700409;3.006876855373383;6.0;20.03889712572098;200.6656543254852;val
